日期,淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),備轉容量率(%),temp_high,temp_low
20190101,26429,23872,2557,10.71,19,16
20190102,30047,28148,1899,6.75,18,16
20190103,30343,28452,1891,6.65,20,17
20190104,30301,28490,1811,6.36,26,18
20190105,27957,26054,1903,7.3,21,17
20190106,26950,24617,2333,9.48,19,17
20190107,30336,28536,1800,6.31,23,18
20190108,30562,28719,1843,6.42,20,17
20190109,30595,28641,1954,6.82,21,17
20190110,30853,29006,1847,6.37,24,19
20190111,30682,28798,1884,6.54,23,18
20190112,28402,25905,2497,9.64,18,16
20190113,27027,24629,2398,9.74,18,15
20190114,30093,28348,1745,6.16,21,17
20190115,30731,28887,1844,6.38,23,17
20190116,30498,28649,1849,6.45,19,16
20190117,30328,28395,1933,6.81,17,15
20190118,29691,27756,1935,6.97,20,15
20190119,28431,26477,1954,7.38,22,18
20190120,27138,24539,2599,10.59,21,15
20190121,29654,27739,1915,6.9,17,14
20190122,30061,28140,1921,6.83,16,13
20190123,29776,27838,1938,6.96,18,15
20190124,29735,27863,1872,6.72,19,15
20190125,29202,27296,1906,6.98,20,13
20190126,27817,25282,2535,10.03,16,12
20190127,26506,24414,2092,8.57,17,13
20190128,29363,27557,1806,6.55,20,16
20190129,29690,27858,1832,6.58,21,17
20190130,29570,27760,1810,6.52,22,15
20190131,29071,27181,1890,6.95,23,13
20190201,26857,24709,2148,8.69,17,14
20190202,25623,23382,2241,9.58,23,17
20190203,24953,22915,2038,8.89,25,17
20190204,22777,20214,2563,12.68,20,17
20190205,22325,19992,2333,11.67,22,16
20190206,22258,19936,2322,11.65,24,17
20190207,23045,20938,2107,10.06,25,17
20190208,24696,21581,3115,14.43,20,16
20190209,25572,22436,3136,13.98,18,16
20190210,26259,23236,3023,13.01,20,16
20190211,28942,26667,2275,8.53,19,16
20190212,29628,27768,1860,6.7,23,17
20190213,29614,27699,1915,6.91,20,18
20190214,30193,28250,1943,6.88,21,18
20190215,30221,28262,1959,6.93,22,17
20190216,27858,25432,2426,9.54,19,16
20190217,27016,24343,2673,10.98,20,16
20190218,30407,28645,1762,6.15,23,18
20190219,30767,28876,1891,6.55,23,18
20190220,30916,29078,1838,6.32,24,18
20190221,30725,28912,1813,6.27,20,17
20190222,30290,28420,1870,6.58,18,13
20190223,28452,26723,1729,6.47,15,13
20190224,26464,24694,1770,7.17,16,13
20190225,29838,28084,1754,6.24,18,15
20190226,30208,28390,1818,6.4,19,16
20190227,29916,28013,1903,6.79,22,17
20190228,27902,25472,2430,9.54,18,15
20190301,27060,24689,2371,9.6,20,16
20190302,26567,24734,1833,7.41,23,18
20190303,26326,24102,2224,9.23,20,15
20190304,29583,27688,1895,6.84,22,14
20190305,30195,28241,1954,6.92,22,16
20190306,29954,28032,1922,6.86,19,14
20190307,30015,28147,1868,6.64,15,12
20190308,29767,27951,1816,6.5,17,13
20190309,28061,25870,2191,8.47,19,15
20190310,26624,24801,1823,7.35,17,13
20190311,29524,27730,1794,6.47,18,14
20190312,29815,27936,1879,6.73,22,17
20190313,30068,28145,1923,6.83,22,16
20190314,30197,28417,1780,6.26,22,15
20190315,29685,27757,1928,6.95,19,15
20190316,27836,25318,2518,9.95,20,17
20190317,26971,24681,2290,9.28,22,18
20190318,30093,28338,1755,6.19,22,17
20190319,30687,28882,1805,6.25,23,18
20190320,31489,29645,1844,6.22,26,19
20190321,32310,30343,1967,6.48,26,19
20190322,31959,29618,2341,7.9,20,14
20190323,27349,25265,2084,8.25,17,14
20190324,26671,24812,1859,7.49,19,16
20190325,30388,28535,1853,6.49,21,16
20190326,30643,28756,1887,6.56,22,16
20190327,31073,29140,1933,6.63,24,18
20190328,31985,30093,1892,6.29,27,20
20190329,31728,29673,2055,6.92,23,18
20190330,27965,25810,2155,8.35,22,18
20190331,26763,24466,2297,9.39,19,15
20190401,29772,27842,193,6.93,20,16
20190402,30275,28359,191.5,6.75,22,18
20190403,30387,28483,190.5,6.69,22,19
20190404,28003,25663,234,9.12,25,19
20190405,26414,24542,187.2,7.63,22,19
20190406,26649,24966,168.3,6.74,25,20
20190407,27018,25240,177.8,7.04,26,21
20190408,32368,30399,196.9,6.48,26,20
20190409,33496,31532,196.4,6.23,27,22
20190410,33863,31709,215.4,6.79,27,18
20190411,32620,30541,207.9,6.81,24,17
20190412,31053,29035,201.8,6.95,22,18
20190413,28206,26446,176,6.66,25,20
20190414,28065,25537,252.8,9.9,23,18
20190415,30735,28749,198.6,6.91,22,19
